id,title,view,star,rating_count,type,status,next_chapter_in,number_of_children,cover_art_id,is_deleted,is_actived,poster_id,created_at,updated_at,summary,nation_id
002003fd-49b4-42ef-9a9d-36350cb53aae,Jujutsu Kaisen - Chú Thuật Hồi Chiến,0,5,1,manga,ongoing,,280,b013ba31-4b32-4715-b6a6-1af65263e58a,false,true,,2026-02-13 11:21:29.323,2026-02-13 11:21:29.323,,
14075cc1-270c-4923-8802-e6607ef43bdb,Hảo Vị Hầm Ngục,7,5,1,manga,postpone,,101,e52a7e41-9ff8-4489-827a-ae17ccb9de4b,false,true,,2026-02-13 11:18:56.49,2026-02-13 11:18:56.49,,
2ffb0fcb-ec44-48e5-aabf-8046dcc2da40,Vương quốc Bảo thạch,0,4,1,manga,ongoing,,108,6785b65a-f6b2-4e5d-8136-ef8a7a2b2f81,false,true,,2026-02-13 11:44:00.624,2026-02-13 11:44:00.624,,
6cd1eddf-e97d-4451-9fac-62ed159cee16,Horimiya,0,5,1,manga,ongoing,,132,6d47021a-2afc-4364-9069-80978cec0b6d,false,true,,2026-02-13 11:16:29.348,2026-02-13 11:16:29.348,,
8b549825-37ab-4753-a298-18eb8884ea0c,Hoa thơm kiêu hãnh,2,0,0,manga,ongoing,,138,ffddcd9f-2c48-449a-b276-0816bbd1de05,false,true,,2026-02-13 11:11:37.011,2026-02-13 11:11:37.011,,
8fa4f214-d483-45ca-8fcb-c7c8b0297b9b,Thanh Gươm Diệt Quỷ,1,0,0,manga,finished,,218,4a650b25-1429-4d9a-8a0e-1bef400112ce,false,true,,2026-02-13 11:46:59.651,2026-02-13 11:46:59.651,,
9663115f-64e2-4149-9016-c858e58caacf,Dragon Ball Z,0,0,0,manga,ongoing,,521,4ee87a95-1eb9-4a9c-a63a-098f7858dd1e,false,true,,2026-02-13 11:09:13.194,2026-02-13 11:09:13.194,,
a62a6392-78ba-43bd-bbfd-dd2137bfa76c,Nisekoi,0,3,1,manga,finished,,231,e2562220-c02c-49aa-baa4-2be2a400084a,false,true,,2026-02-13 11:38:46.233,2026-02-13 11:38:46.233,,
aca3784c-1561-427a-bbaf-d0d3e5e1f8bf,Haikyuu,0,0,0,manga,finished,,374,bdd00725-c3b1-4bf8-b346-0dbe805d0b4e,false,true,,2026-02-13 11:05:14.126,2026-02-13 11:05:14.126,,
b582605b-4a7e-45cd-97e7-30047456ba68,Sói Và Gia Vị,2,0,0,manga,ongoing,,87,38058667-9ef7-4063-81e6-9a2c0a498fc4,false,true,,2026-02-13 11:41:22.84,2026-02-13 11:41:22.84,,
cedf2076-9db7-4967-9b30-61c1cbd0dbbe,"Nhất Quỷ Nhì Ma, Thứ Ba Takagi",0,0,0,manga,ongoing,,2,f8f50002-82b4-44c7-96f5-74afd0740cab,false,true,,2026-02-13 10:59:23.308,2026-02-13 10:59:23.308,,
de521c86-4880-4237-a0c8-9f4ab538a480,Monster,1,4,1,manga,finished,,162,6377cd62-311e-4795-8c5f-910e89ecefb0,false,true,,2026-02-13 11:23:59.111,2026-02-13 11:23:59.111,,
ed27739c-928e-4345-ba1d-50ed70ff76c7,Dragon Ball Super,0,0,0,manga,ongoing,,105,7d80fa93-7bf3-4e74-b8f5-7d71224b6b6b,false,true,,2026-02-13 11:13:58.171,2026-02-13 11:13:58.171,,
fdf1254b-61db-4b13-9b3d-d337db80991b,Dr.stone,0,0,0,manga,ongoing,,233,83d87c2c-135c-488e-acc5-6ead9b72c1bf,false,true,,2026-02-13 10:59:48.293,2026-02-13 10:59:48.293,,
ffa4e526-6c2c-4456-9594-9b7b65aa53e5,Genshin Impact,6,5,1,light_novel,postpone,,9,94d04d9f-09a6-4295-8519-8a300ffd72ff,false,true,,2026-02-13 10:59:35.945,2026-02-13 10:59:35.945,,
